AGECL,HHSEX,EDCL,KIDS,MARRIED,HOUSECL,OCCAT2,LIFECL,INCCAT,NWCAT,WSAVED,SPENDMOR,KNOWL,Risk_tolerance
6,1,3,0,1,1,4,6,4,5,3,1,7,0.7119741100323624
6,1,3,0,1,1,4,6,4,5,3,1,7,0.7231726283048211
6,1,3,0,1,1,4,6,4,5,3,1,7,0.8110403397027601
2,1,4,0,1,2,1,2,5,1,2,4,5,0.0
2,1,4,0,1,2,1,2,5,1,2,4,5,0.0
2,1,4,0,1,2,1,2,5,1,2,4,5,0.0
2,1,4,0,1,2,1,2,5,1,2,4,5,0.0
2,1,4,0,1,2,1,2,5,1,2,4,5,0.0
6,2,2,0,2,1,4,6,3,2,3,3,5,0.0
6,2,2,0,2,1,4,6,3,2,3,3,5,0.0
6,2,2,0,2,1,4,6,3,2,3,3,5,0.0
6,2,2,0,2,1,4,6,3,2,3,3,5,0.0
6,2,2,0,2,1,4,6,3,2,3,3,5,0.0
3,1,1,0,1,2,4,2,2,1,2,2,6,0.0
3,1,1,0,1,2,4,2,2,1,2,2,6,0.0
3,1,1,0,1,2,4,2,2,1,2,2,6,0.0
3,1,1,0,1,2,4,2,2,1,2,2,6,0.0
3,1,1,0,1,2,4,2,2,2,2,2,6,0.0
3,1,4,2,1,1,1,3,6,5,3,2,9,0.8
3,1,4,2,1,1,1,3,6,5,3,2,9,0.8
3,1,4,2,1,1,1,3,6,5,3,2,9,0.8
3,1,4,2,1,1,1,3,6,5,3,2,9,0.8
3,1,4,2,1,1,1,3,6,5,3,2,9,0.8
3,2,4,2,2,1,1,4,3,2,3,3,8,0.8445945945945946
3,2,4,2,2,1,1,4,3,2,3,3,8,0.8445945945945946
3,2,4,2,2,1,1,4,3,2,3,3,8,0.8445945945945946
3,2,4,2,2,1,1,4,3,2,3,3,8,0.8445945945945946
3,2,4,2,2,1,1,4,3,2,3,3,8,0.8445945945945946
5,1,4,0,2,1,4,6,2,2,3,1,9,0.04139834406623735
5,1,4,0,2,1,4,6,2,2,3,1,9,0.04139834406623735
5,1,4,0,2,1,4,6,2,2,3,1,9,0.04141739530602853
5,1,4,0,2,1,4,6,2,2,3,1,9,0.04139834406623735
5,1,4,0,2,1,4,6,2,2,3,1,9,0.04141739530602853
4,1,4,2,1,1,1,5,6,5,3,5,8,0.8066508313539192
4,1,4,2,1,1,1,5,6,5,3,5,8,0.8069565217391305
4,1,4,2,1,1,1,5,6,5,3,5,8,0.8066508313539192
4,1,4,2,1,1,1,5,6,5,3,5,8,0.8069565217391305
4,1,4,2,1,1,1,5,6,5,3,5,8,0.8069565217391305
4,1,4,0,1,1,1,5,6,5,3,2,7,0.7269789983844911
4,1,4,0,1,1,1,5,6,5,3,2,7,0.6976744186046512
4,1,4,0,1,1,1,5,6,5,3,2,7,0.675
4,1,4,0,1,1,1,5,6,5,3,2,7,0.707105719237435
4,1,4,0,1,1,1,5,6,5,3,2,7,0.6768642447418738
5,1,4,0,1,1,4,6,3,3,3,5,10,0.45977011494252873
5,1,4,0,1,1,4,6,3,3,3,5,10,0.4885057471264368
5,1,4,0,1,1,4,6,3,3,3,5,10,0.5637254901960784
5,1,4,0,1,1,4,6,3,3,3,5,10,0.611353711790393
5,1,4,0,1,1,4,6,3,3,3,5,10,0.5756207674943566
2,1,1,5,1,2,3,3,3,1,1,5,7,0.0
2,1,1,5,1,2,3,3,3,1,1,5,7,0.0
2,1,1,5,1,2,3,3,3,1,1,5,7,0.0
2,1,1,5,1,2,3,3,3,1,1,5,7,0.0
2,1,1,5,1,2,3,3,3,1,1,5,7,0.0
2,1,1,3,1,1,3,3,3,3,3,4,9,0.2
2,1,1,3,1,1,3,3,3,3,3,4,9,0.0867579908675799
2,1,1,3,1,1,3,3,3,3,3,4,9,0.17355371900826447
2,1,1,3,1,1,3,3,3,3,3,4,9,0.14163090128755365
2,1,1,3,1,1,3,3,3,3,3,4,9,0.0867579908675799
4,1,3,1,1,1,4,6,6,5,3,5,10,0.8550010269049086
4,1,3,1,1,1,4,6,6,5,3,5,10,0.8983335667273491
4,1,3,1,1,1,4,6,6,5,3,5,10,0.800558233950774
4,1,3,1,1,1,4,6,6,5,3,5,10,0.7624282982791587
4,1,3,1,1,1,4,6,6,5,3,5,10,0.8777149114801971
4,1,4,0,1,1,1,5,6,5,3,4,10,0.42458564655347086
4,1,4,0,1,1,1,5,6,5,3,4,10,0.5836973034561337
4,1,4,0,1,1,1,5,6,5,3,4,10,0.7517825406603366
4,1,4,0,1,1,1,5,6,5,3,4,10,0.5181290542847388
4,1,4,0,1,1,1,5,6,5,3,4,10,0.6054243600394376
4,2,2,0,2,1,2,5,1,2,2,5,10,0.0
4,2,2,0,2,1,2,5,1,2,2,5,10,0.0
4,2,2,0,2,1,2,5,1,2,2,5,10,0.0
4,2,2,0,2,1,2,5,1,2,2,5,10,0.0
4,2,2,0,2,1,2,5,1,2,2,5,10,0.0
4,1,1,1,1,1,3,5,2,2,2,4,10,0.746268656716418
4,1,1,1,1,1,3,5,2,2,2,4,10,0.2617801047120419
4,1,1,1,1,1,3,5,2,2,2,4,10,0.3816793893129771
4,1,1,1,1,1,3,5,2,2,2,4,10,0.13850415512465375
4,1,1,1,1,1,3,5,2,2,2,4,10,0.36764705882352944
1,2,2,1,2,1,2,4,2,1,3,4,5,0.0
1,2,2,1,2,1,2,4,2,1,3,4,5,0.0
1,2,2,1,2,1,2,4,2,1,3,4,5,0.0
1,2,2,1,2,1,2,4,2,1,3,4,5,0.0
1,2,2,1,2,1,2,4,2,1,3,4,5,0.0
1,1,4,0,2,2,2,1,1,1,1,5,7,0.0
1,1,4,0,2,2,2,1,1,1,1,5,7,0.0
1,1,4,0,2,2,2,1,1,1,1,5,7,0.0
1,1,4,0,2,2,2,1,1,1,1,5,7,0.0
1,1,4,0,2,2,2,1,1,1,1,5,7,0.0
4,2,4,0,2,2,4,6,3,2,3,1,10,0.0
4,2,4,0,2,2,4,6,3,2,3,1,10,0.0
4,2,4,0,2,2,4,6,3,2,3,1,10,0.0
4,2,4,0,2,2,4,6,3,2,3,1,10,0.0
4,2,4,0,2,2,4,6,3,2,3,1,10,0.0
2,1,2,2,1,2,3,3,2,1,2,2,7,0.0
2,1,2,2,1,2,3,3,2,1,2,2,7,0.0
2,1,2,2,1,2,3,3,2,1,2,2,7,0.0
2,1,2,2,1,2,3,3,2,1,2,2,7,0.0
2,1,2,2,1,2,3,3,2,1,2,2,7,0.0
6,2,2,0,2,1,2,5,4,4,3,4,5,0.9082412914188616
6,2,2,0,2,1,2,5,4,5,3,4,5,0.9115479115479116
6,2,2,0,2,1,2,5,4,5,3,4,5,0.915625
6,2,2,0,2,1,2,5,4,5,3,4,5,0.9179331306990881
6,2,2,0,2,1,2,5,4,5,3,4,5,0.9124087591240876
4,1,4,2,1,1,2,5,6,5,3,5,10,0.7291911538670187
4,1,4,2,1,1,2,5,6,5,3,5,10,0.7291977468558151
4,1,4,2,1,1,2,5,6,5,3,5,10,0.7298576483470738
4,1,4,2,1,1,2,5,6,5,3,5,10,0.7291977468558151
4,1,4,2,1,1,2,5,6,5,3,5,10,0.7298576483470738
5,1,2,0,1,1,4,6,1,2,2,5,10,0.0
5,1,2,0,1,1,4,6,1,2,2,5,10,0.0
5,1,2,0,1,1,4,6,1,2,2,5,10,0.0
5,1,2,0,1,1,4,6,1,2,2,5,10,0.0
5,1,2,0,1,1,4,6,1,2,2,5,10,0.0
4,1,1,0,1,2,1,5,6,5,3,5,8,0.9806670602125147
4,1,1,0,1,2,1,5,6,5,3,5,8,0.9786450662739322
4,1,1,0,1,2,1,5,6,5,3,5,8,0.9806670602125147
4,1,1,0,1,2,1,5,6,5,3,5,8,0.9747689599530586
4,1,1,0,1,2,1,5,6,5,3,5,8,0.9793662490788504
4,1,4,0,1,1,1,5,6,5,3,3,10,0.8255250403877221
4,1,4,0,1,1,1,5,6,5,3,3,10,0.8166718896897525
4,1,4,0,1,1,1,5,6,5,3,3,10,0.7987638349863447
4,1,4,0,1,1,1,5,6,5,3,3,10,0.828072424290979
4,1,4,0,1,1,1,5,6,5,3,3,10,0.8339519122155882
4,2,2,0,2,1,2,5,3,4,1,5,6,0.0
